sample_id,pool,hive_id,apiary_id,type,lat,lon,region
VAR187,p4,HIV031,API010,c,39.52322,-122.22981,CA-N
VAR188,p1,HIV035,API011,m,37.35047,-122.16418,CA-B
VAR189,p4,HIV036,API011,m,37.35047,-122.16418,CA-B
VAR190,p3,HIV036,API011,m,37.35047,-122.16418,CA-B
VAR191,p4,HIV041,API013,s,37.33347,-122.17572,CA-B
VAR192,p5,HIV042,API013,s,37.33347,-122.17572,CA-B
VAR193,p4,HIV047,API015,s,44.5594,-123.28892,OR-MWV
VAR194,p5,HIV049,API015,s,44.5594,-123.28892,OR-MWV
VAR195,p3,HIV054,API016,s,44.1424,-123.92453,OR-C
VAR196,p5,HIV054,API016,s,44.1424,-123.92453,OR-C
VAR197,p3,HIV080,API024,m,47.51877,-122.38726,WA-PS
VAR198,p4,HIV082,API025,s,46.91027,-113.95805,MT-W
VAR199,p4,HIV087,API027,m,47.29002,-114.03374,MT-W
VAR200,p4,HIV096,API029,m,47.15633,-114.0405,MT-W
VAR201,p5,HIV012,API005,m,45.16431,-122.45376,OR-P
VAR202,p3,HIV022,API007,c,39.79929,-122.14147,CA-N
VAR203,p4,HIV023,API007,c,39.79929,-122.14147,CA-N
VAR204,p5,HIV024,API008,c,39.77619,-122.15926,CA-N
VAR205,p3,HIV025,API008,c,39.77619,-122.15926,CA-N
VAR206,p4,HIV026,API008,c,39.77619,-122.15926,CA-N
VAR207,p5,HIV027,API008,c,39.77619,-122.15926,CA-N
VAR209,p3,HIV030,API009,c,39.55246,-122.23259,CA-N
VAR213,p3,HIV036,API011,m,37.35047,-122.16418,CA-B
VAR214,p4,HIV049,API015,s,44.5594,-123.28892,OR-MWV
VAR215,p4,HIV054,API016,s,44.1424,-123.92453,OR-C
VAR216,p3,HIV054,API016,s,44.1424,-123.92453,OR-C
VAR217,p4,HIV056,API017,s,44.0564,-124.0744,OR-C
VAR218,p5,HIV080,API024,m,47.51877,-122.38726,WA-PS
VAR219,p4,HIV080,API024,m,47.51877,-122.38726,WA-PS
VAR220,p4,HIV080,API024,m,47.51877,-122.38726,WA-PS
VAR221,p4,HIV082,API025,s,46.91027,-113.95805,MT-W
VAR222,p3,HIV082,API025,s,46.91027,-113.95805,MT-W
VAR223,p4,HIV082,API025,s,46.91027,-113.95805,MT-W
VAR224,p3,HIV087,API027,m,47.29002,-114.03374,MT-W
VAR227,p4,HIV013,API005,m,45.16431,-122.45376,OR-P
VAR228,p5,HIV022,API007,c,39.79929,-122.14147,CA-N
VAR235,p3,HIV049,API015,s,44.5594,-123.28892,OR-MWV
VAR237,p5,HIV054,API016,s,44.1424,-123.92453,OR-C
VAR238,p4,HIV080,API024,m,47.51877,-122.38726,WA-PS
VAR241,p3,HIV082,API025,s,46.91027,-113.95805,MT-W
